"status_id"|"created_at"|"user_id"|"text"|"year"|"week"
"1308780558898601990"|"2020-09-23"|"149395305"|" realDonaldTrump Have they changed the flu vaccines to saline solution yet Or are they still putting everything except the kitchen sink in them It s now flu season and people are getting sick with COVID 19 WHAT S IN THE SHOTS "|2020|39
"1308750796411097089"|"2020-09-23"|"939722867662622720"|" Oregarus Focustheframe I have the Spring Fever and Send in Offer cards somewhere around here I’ll try to find them "|2020|39
"1308735857336160261"|"2020-09-23"|"2814559865"|"What is that fever 

Typically associated with Africans 

Anyway nearly 8am Get it the FCC in poem

Drugs Who s on them Who needs them Who needn t worry about use of drugs Doctors do not do drugs diagnosis prescription Look at you what you want why Try this come back https t co sil66ijmM0"|2020|39
"1308725370967986176"|"2020-09-23"|"1269324351679221767"|" LJT is me Every mass shooting has been caused by a sick individuL with a high capacity rifle "|2020|39
"1308613132395442178"|"2020-09-23"|"359122805"|"I’m sick of working two jobs in one day I just wanna sleeeeeeeep"|2020|39
"1308553283708104706"|"2020-09-22"|"851283245618520064"|"Sick asf <U+0001F912><U+0001F62A><U+0001F637> DND"|2020|38
"1308469878895108101"|"2020-09-22"|"2947394988"|" NBCNews I m so sick of these nasty ass old pink men"|2020|38
"1305941562266914820"|"2020-09-15"|"2947394988"|"I m sick of cops just getting off Put their dirty butts behind bars amp they need to stop paying them the minute the investigation starts until they are proven not guilty Arrest is the only outcome for crooked police"|2020|37
"1308451916255559685"|"2020-09-22"|"1022144640768716802"|"At home sick so I thought I d try PS Now Very first game wouldn t exit The PS button didn t work nor did the console power button After Googling what to do I had no choice but to pull the power plug What a joke"|2020|38
"1308449849650667531"|"2020-09-22"|"18096855"|"Hospitals denying exercise of religion to patients POTUS can nothing be done to permit pastoral visits to the sick and dying USCCB should be pushing for this "|2020|38
"1308448327898406913"|"2020-09-22"|"946322398021689345"|" KamalaHarris The voters did choose a President What is your point Even if he is not reelected he is still President until January 20th 2021 I m sick and tired of the temper tantrum constantly coming from a generations of people that did not learn to accept defeat gracefully Just Stop "|2020|38
"1308228671266840576"|"2020-09-22"|"797159029982248960"|"I use to wonder why but now I’m pretty sure MSM is as involved in the pedo cover up as all the other sick f ks https t co 0FK8ddYokr"|2020|38
"1308206139016966149"|"2020-09-22"|"3810665055"|"Not gonna lie COTA is cool and any time we leave Texas Motor Speedway I’m all for BUT I kinda wish this Road Course fever everyone has caught recently was geared more towards short tracks That’s what we really want And my favorite driver DOMINATES Road Courses in recent time"|2020|38
"1305735303047585792"|"2020-09-15"|"1033188538395906048"|" grahammotorcop7 dbongino I have listen and read many comments from both side of the political divide and have found nothing but lies misleading statements and foreign propaganda it makes me sick "|2020|37
